Matrix a4
Matrix b4
Matrix c4
Init a4 100 50
Init b4 50 70
Init c4 100 70
Assign a4 69 13 10
Assign a4 73 17 -86
Assign a4 31 29 24
Assign a4 18 20 96
Assign a4 42 49 -92
Assign a4 55 24 31
Assign a4 11 43 -60
Assign a4 57 42 17
Assign a4 4 49 32
Assign a4 10 20 -24
Assign a4 94 32 60
Assign a4 25 21 77
Assign a4 71 29 61
Assign a4 76 17 44
Assign a4 17 29 -67
Assign a4 62 35 -17
Assign a4 88 20 100
Assign a4 26 15 62
Assign a4 62 13 -30
Assign a4 84 39 15
Assign a4 96 36 75
Assign a4 62 32 11
Assign a4 9 21 46
Assign a4 3 1 38
Assign a4 41 1 83
Assign a4 2 1 -37
Assign a4 35 39 -36
Assign a4 13 29 -7
Assign a4 12 20 -30
Assign a4 80 27 23
Assign a4 34 49 83
Assign a4 55 37 58
Assign a4 58 23 -72
Assign a4 53 15 88
Assign a4 22 36 -63
Assign a4 72 19 -75
Assign a4 9 19 95
Assign a4 77 15 72
Assign a4 85 43 86
Assign a4 38 13 -31
Assign a4 55 6 -53
Assign a4 61 16 77
Assign a4 44 29 -59
Assign a4 90 2 73
Assign a4 18 40 99
Assign a4 1 37 -72
Assign a4 76 47 60
Assign a4 24 10 -2
Assign a4 48 2 -23
Assign a4 34 14 81
Assign b4 39 15 -86
Assign b4 25 18 -20
Assign b4 21 24 -18
Assign b4 49 2 -84
Assign b4 6 63 26
Assign b4 17 40 -65
Assign b4 2 66 -47
Assign b4 32 67 -14
Assign b4 24 64 60
Assign b4 11 6 14
Assign b4 4 49 72
Assign b4 43 23 43
Assign b4 19 14 -10
Assign b4 24 33 62
Assign b4 42 7 4
Assign b4 27 56 14
Assign b4 24 37 -32
Assign b4 43 49 12
Assign b4 17 66 81
Assign b4 13 57 0
Assign b4 17 17 -88
Assign b4 24 39 45
Assign b4 17 68 -99
Assign b4 19 44 1
Assign b4 29 0 -36
Assign b4 1 54 11
Assign b4 17 5 66
Assign b4 24 66 45
Assign b4 10 43 31
Assign b4 12 10 -22
Assign b4 21 6 74
Assign b4 13 14 43
Assign b4 34 30 15
Assign b4 7 3 -68
Assign b4 2 42 -49
Assign b4 2 35 23
Assign b4 2 4 -84
Assign b4 29 14 26
Assign b4 14 53 -58
Assign b4 33 2 -51
Assign b4 24 43 10
Assign b4 27 12 -64
Assign b4 13 23 42
Assign b4 39 9 38
Assign b4 48 61 92
Assign b4 2 17 17
Assign b4 2 34 -20
Assign b4 40 44 -66
Assign b4 19 24 -62
Assign b4 20 35 -68
Assign b4 27 47 71
Assign b4 19 6 29
Assign b4 3 52 -20
Assign b4 6 59 44
Assign b4 9 68 -100
Assign b4 2 48 -42
Assign b4 15 21 -65
Assign b4 21 47 -87
Assign b4 9 18 -20
Assign b4 27 35 -23
Assign b4 28 51 -51
Assign b4 1 63 79
Assign b4 20 49 -82
Assign b4 17 44 19
Assign b4 17 18 -5
Assign b4 32 15 -80
Assign b4 15 26 0
Assign b4 49 1 -66
Assign b4 27 63 35
Assign b4 43 31 -100
Mult a4 b4 c4
Print c4
Delete a4
Delete b4
Delete c4
